userID,movieID,watch
0,693134,0
0,823464,0
0,1011985,0
0,720321,0
0,1239146,3
0,601796,0
0,940551,3
0,359410,1
0,929590,1
0,654739,0
0,984324,2
0,634492,2
0,1096197,1
0,942047,0
0,935271,1
0,1127166,3
0,438631,2
0,967847,0
0,856289,0
0,1229913,1
0,1105407,1
0,383634,0
0,1181548,0
0,969492,3
0,849509,3
0,934632,0
0,845783,0
0,872585,3
0,787699,1
0,1111873,4
0,763215,1
0,437342,2
0,1041613,1
0,1125311,2
0,653346,1
0,1005681,1
0,848538,1
0,893334,1
0,1072790,1
0,866398,0
0,385687,0
0,399566,4
0,792307,3
0,7451,2
0,940721,1
0,1239251,1
0,624091,1
0,346698,0
0,551115,2
0,1032372,3
0,609681,1
0,667538,0
0,1027604,1
0,1022789,3
0,873972,1
0,932420,0
0,1049948,2
0,299536,0
0,1022128,2
0,616037,4
0,572802,2
0,1010581,0
0,502356,0
0,218,4
0,634649,1
0,297802,0
0,1192209,3
0,577922,2
0,126889,2
0,405774,4
0,373571,1
0,1017633,1
0,881460,0
0,870404,4
0,43074,0
0,698438,0
0,62,1
0,508883,0
0,284053,3
0,348,0
0,944401,1
0,671,1
0,569094,1
0,293660,1
0,119450,1
0,10138,0
0,753342,2
0,11,0
0,801691,1
0,157336,4
0,1211483,2
0,298618,0
0,603692,4
0,603,3
0,838209,2
0,976573,2
0,414906,2
0,897087,0
0,281338,0
0,27205,0
0,1241748,2
0,86493,2
0,263115,1
0,59300,4
0,1026436,0
0,1134754,1
0,968441,0
0,784651,1
0,766507,1
0,1011082,2
0,695721,2
0,683361,1
0,760104,3
0,315162,1
0,16320,0
0,984249,3
0,254,1
0,1006540,0
0,1139829,1
0,150540,0
0,618588,0
0,508947,2
0,1366,0
0,1029575,0
0,425909,3
0,381288,0
0,1262596,2
0,933131,0
0,1028703,0
0,198663,3
0,120,1
0,106,3
0,680,5
0,124905,2
0,299054,1
0,447365,3
0,893723,2
0,1046090,0
0,841,1
0,1124127,2
0,68428,2
0,5548,1
0,927107,1
0,862,2
0,337404,1
0,507089,0
0,297762,2
0,467244,1
0,284054,4
0,466420,0
0,838240,0
0,1924,2
0,1074049,3
0,1078928,0
0,1016121,2
0,329865,1
0,299534,0
0,1075794,2
0,734002,5
0,575264,2
0,637649,0
0,670292,0
0,177572,1
0,1212073,3
0,206647,0
0,885303,0
0,299537,0
0,1248795,3
0,293167,3
0,1701,1
0,1260916,4
0,411,0
0,14836,0
0,49444,0
0,1008042,1
0,829557,1
0,103,2
0,19995,1
0,809,0
0,1079394,2
0,400928,2
0,1081620,0
0,476669,4
0,315635,5
0,568124,2
0,955916,0
0,7214,4
0,550,1
0,284052,1
0,1052158,0
0,957304,4
0,682075,0
0,383498,0
0,1013240,0
0,436270,1
0,1094556,0
0,141,2
0,424,0
0,339846,1
0,22,0
0,746036,1
0,269149,0
0,674,3
0,1019317,1
0,799155,0
0,926393,1
0,424139,0
0,15,2
0,370464,1
0,1139566,3
0,2666,0
0,1079485,0
0,617127,4
0,354912,2
0,14160,0
0,140300,0
0,1227816,2
0,978592,0
0,1865,5
0,505642,1
0,36647,1
0,951491,0
0,767,1
0,324786,1
0,278,4
0,699280,1
0,677179,4
0,1217409,1
0,122917,2
0,155,2
0,769,3
0,857,1
0,537915,4
0,49047,3
0,480530,1
0,8587,0
0,597,0
0,675,3
0,198184,1
0,937287,3
0,2062,1
0,938614,1
0,24428,0
0,968051,2
0,4935,0
0,890244,1
0,851925,5
0,19,0
0,621,0
0,794,1
0,13,0
0,673593,0
0,118,3
0,585083,1
0,216015,0
0,228150,5
0,395990,1
0,141052,3
0,335983,1
0,848187,2
0,620,3
0,39254,0
0,11688,2
0,1422,3
0,1205781,1
0,282035,3
0,863,5
0,497698,0
0,271110,2
0,12444,1
0,888003,0
0,1267729,1
0,807,3
1,693134,0
1,823464,0
1,1011985,2
1,720321,3
1,1239146,0
1,601796,0
1,940551,3
1,359410,1
1,929590,0
1,654739,0
1,984324,1
1,634492,3
1,1096197,0
1,942047,5
1,935271,3
1,1127166,0
1,438631,2
1,967847,1
1,856289,0
1,1229913,2
1,1105407,3
1,383634,1
1,1181548,4
1,969492,1
1,849509,0
1,934632,4
1,845783,0
1,872585,0
1,787699,0
1,1111873,1
1,763215,0
1,437342,0
1,1041613,0
1,1125311,0
1,653346,0
1,1005681,3
1,848538,0
1,893334,3
1,1072790,1
1,866398,2
1,385687,0
1,399566,2
1,792307,2
1,7451,2
1,940721,5
1,1239251,1
1,624091,1
1,346698,0
1,551115,1
1,1032372,2
1,609681,0
1,667538,0
1,1027604,0
1,1022789,1
1,873972,0
1,932420,0
1,1049948,1
1,299536,3
1,1022128,0
1,616037,1
1,572802,2
1,1010581,0
1,502356,0
1,218,0
1,634649,0
1,297802,1
1,1192209,3
1,577922,3
1,126889,3
1,405774,1
1,373571,0
1,1017633,3
1,881460,1
1,870404,1
1,43074,1
1,698438,2
1,62,2
1,508883,0
1,284053,0
1,348,0
1,944401,0
1,671,0
1,569094,1
1,293660,1
1,119450,0
1,10138,0
1,753342,1
1,11,2
1,801691,1
1,157336,2
1,1211483,4
1,298618,0
1,603692,2
1,603,2
1,838209,3
1,976573,0
1,414906,0
1,897087,0
1,281338,0
1,27205,0
1,1241748,0
1,86493,0
1,263115,1
1,59300,1
1,1026436,4
1,1134754,2
1,968441,0
1,784651,1
1,766507,3
1,1011082,3
1,695721,1
1,683361,1
1,760104,2
1,315162,0
1,16320,0
1,984249,1
1,254,0
1,1006540,0
1,1139829,2
1,150540,2
1,618588,1
1,508947,2
1,1366,2
1,1029575,3
1,425909,2
1,381288,5
1,1262596,0
1,933131,0
1,1028703,3
1,198663,0
1,120,4
1,106,0
1,680,1
1,124905,0
1,299054,2
1,447365,1
1,893723,4
1,1046090,1
1,841,1
1,1124127,0
1,68428,1
1,5548,0
1,927107,1
1,862,0
1,337404,1
1,507089,3
1,297762,4
1,467244,0
1,284054,3
1,466420,3
1,838240,3
1,1924,2
1,1074049,0
1,1078928,2
1,1016121,4
1,329865,2
1,299534,2
1,1075794,0
1,734002,5
1,575264,2
1,637649,0
1,670292,3
1,177572,2
1,1212073,2
1,206647,4
1,885303,3
1,299537,1
1,1248795,0
1,293167,2
1,1701,1
1,1260916,2
1,411,0
1,14836,0
1,49444,0
1,1008042,0
1,829557,0
1,103,1
1,19995,3
1,809,3
1,1079394,0
1,400928,4
1,1081620,0
1,476669,2
1,315635,2
1,568124,0
1,955916,0
1,7214,0
1,550,0
1,284052,2
1,1052158,0
1,957304,3
