userID,movieID,view
0,693134,1
0,823464,1
0,1011985,1
0,720321,3
0,1239146,3
0,601796,1
0,940551,5
0,359410,3
0,929590,1
0,654739,1
0,984324,2
0,634492,3
0,1096197,3
0,942047,0
0,935271,3
0,1127166,4
0,438631,4
0,967847,1
0,856289,3
0,1229913,1
0,1105407,4
0,383634,0
0,1181548,0
0,969492,3
0,849509,3
0,934632,0
0,845783,2
0,872585,5
0,787699,1
0,1111873,5
0,763215,4
0,437342,3
0,1041613,5
0,1125311,2
0,653346,2
0,1005681,2
0,848538,1
0,893334,5
0,1072790,1
0,866398,0
0,385687,0
0,399566,4
0,792307,5
0,7451,2
0,940721,2
0,1239251,1
0,624091,1
0,346698,1
0,551115,2
0,1032372,5
0,609681,4
0,667538,0
0,1027604,1
0,1022789,4
0,873972,2
0,932420,1
0,1049948,4
0,299536,0
0,1022128,3
0,616037,4
0,572802,5
0,1010581,3
0,502356,1
0,218,4
0,634649,2
0,297802,3
0,1192209,3
0,577922,2
0,126889,2
0,405774,5
0,373571,5
0,1017633,2
0,881460,0
0,870404,4
0,43074,0
0,698438,3
0,62,1
0,508883,0
0,284053,4
0,348,4
0,944401,1
0,671,2
0,569094,1
0,293660,1
0,119450,1
0,10138,5
0,753342,3
0,11,0
0,801691,2
0,157336,4
0,1211483,2
0,298618,0
0,603692,4
0,603,3
0,838209,4
0,976573,3
0,414906,4
0,897087,0
0,281338,3
0,27205,1
0,1241748,2
0,86493,4
0,263115,4
0,59300,4
0,1026436,3
0,1134754,2
0,968441,0
0,784651,1
0,766507,3
0,1011082,3
0,695721,2
0,683361,1
0,760104,3
0,315162,2
0,16320,3
0,984249,4
0,254,1
0,1006540,3
0,1139829,3
0,150540,4
0,618588,2
0,508947,5
0,1366,0
0,1029575,1
0,425909,4
0,381288,1
0,1262596,3
0,933131,0
0,1028703,5
0,198663,3
0,120,1
0,106,5
0,680,5
0,124905,2
0,299054,5
0,447365,3
0,893723,3
0,1046090,0
0,841,5
0,1124127,2
0,68428,3
0,5548,1
0,927107,2
0,862,2
0,337404,1
0,507089,1
0,297762,3
0,467244,5
0,284054,4
0,466420,5
0,838240,3
0,1924,3
0,1074049,5
0,1078928,0
0,1016121,4
0,329865,5
0,299534,1
0,1075794,2
0,734002,5
0,575264,4
0,637649,5
0,670292,5
0,177572,1
0,1212073,3
0,206647,1
0,885303,0
0,299537,0
0,1248795,4
0,293167,4
0,1701,1
0,1260916,4
0,411,1
0,14836,0
